ID;Quelle est votre hauteur en centimètres?;Aimez-vous la statistique?;Quelle est votre spécialité préférée?;Quel est le salaire annuel brute d'un vétérinaire en Espagne (euros) ?;Avez-vous menti lors d'un questionnaire?
1;166;4;Animaux de compagnie;25000;0
2;169;7;Animaux de rente;30000;0
3;161;6;Animaux de compagnie;35000;0
4;161;7;Animaux exotiques;18000;1
5;166;5;Animaux exotiques;1200;0
6;160;6;Animaux exotiques;24000;0
7;165;6;Animaux de compagnie;23000;1
8;159;7;Animaux de compagnie;24000;1
9;180;5;Animaux de compagnie;30000;0
10;160;5;Animaux de compagnie;30000;0
11;160;5;Animaux de compagnie;50000;1
12;170;8;Animaux de compagnie;24000;0
13;170;6;Animaux de compagnie;24000;1
14;160;7;Animaux de compagnie;25000;1
15;176;4;Animaux exotiques;48000;0
16;169;7;Animaux de compagnie;7000;0
17;173;8;Animaux de compagnie;4000;1
18;160;7;Animaux exotiques;24000;0
19;165;6;Animaux de compagnie;24000;1
20;174;7;Animaux de rente;28000;1
21;160;7;Animaux exotiques;40000;0
22;171;6;Animaux de compagnie;3000;0
23;177;7;Animaux exotiques;35000;1
24;165;7;Animaux de compagnie;50000;0
25;160;5;Animaux exotiques;5000;0
26;173;7;Animaux exotiques;42000;0
27;168;5;Animaux exotiques;3500;0
28;155;7;Animaux de compagnie;3000;0
29;160;6;Enseignant;2500;0
30;162;6;Animaux exotiques;25000;0
31;172;8;Animaux de rente;3000;0
32;173;9;Animaux de rente;2500;0
33;160;5;Animaux de compagnie;2000;0
34;157;5;Animaux de compagnie;2000;0
35;160;5;Animaux de rente;2000;0
36;175;7;Animaux exotiques;4000;0
37;176;7;L'armée / la police;1700;0
38;182;4;Animaux exotiques;4500;0
39;170;6;Animaux de compagnie;35000;1
40;165;8;Animaux de compagnie;65000;0
41;155;2;Animaux exotiques;35000;0
42;161;7;Animaux exotiques;1500;1
43;178;8;Animaux exotiques;2500;0
44;176;5;Animaux de compagnie;25000;0
45;162;3;Animaux de compagnie;4000;0
46;170;6;Animaux de compagnie;3000;0
47;165;8;Animaux de compagnie;5000;0
48;166;6;Animaux exotiques;1600;0
49;180;8;Animaux de compagnie;25000;0
50;180;8;Animaux de compagnie;2250;0
51;166;7;Animaux de compagnie;2000;0
52;164;6;Animaux de rente;36000;0
53;170;5;Animaux exotiques;60000;0
54;181;7;Animaux de rente;2600;0
55;158;5;Animaux de compagnie;2200;0
56;160;5;Animaux de rente;2500;0
57;164;1;L'armée / la police;3;1
58;174;6;Animaux de rente;4500;1
59;180;5;Animaux de compagnie;2500;1
60;169;5;Animaux de compagnie;3000;0
61;161;5;Animaux exotiques;15000;1
62;187;8;Animaux exotiques;2500;0
63;168;7;Animaux exotiques;3000;0
64;156;7;Animaux de compagnie;3000;1
65;177;6;Animaux de compagnie;2000;0
66;164;7;Animaux exotiques;2250;0
67;180;1;Animaux exotiques;20900;0
68;175;8;Animaux exotiques;2000;0
69;160;9;Animaux exotiques;2000;1
70;159;8;Animaux de compagnie;4500;0
71;173;7;Animaux exotiques;45000;0
72;165;5;Animaux de compagnie;3000;0
